Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
CDXS,2.765,2024/02/07,10:47 EST,-0.10499978,2.85,2.87,2.755,85383.0,,,,,,,
CMC,51.47,2024/02/07,10:48 EST,0.52000046,51.0,51.47,50.56,84965.0,,,,,,,
BKNG,3723.73,2024/02/07,10:46 EST,78.79004,3650.1,3729.92,3646.3152,84896.0,,,,,,,
SSB,79.185,2024/02/07,10:47 EST,-0.375,79.56,79.45,77.84,84854.0,,,,,,,
DECK,832.69,2024/02/07,10:47 EST,7.340027,825.39,833.75,819.01,84764.0,,,,,,,
LYEL,1.8,2024/02/07,10:46 EST,-0.07000005,1.87,1.87,1.795,84638.0,,,,,,,
FNF,50.02,2024/02/07,10:48 EST,-0.049999237,50.2,50.255,49.815,84620.0,,,,,,,
RYN,32.74,2024/02/07,10:46 EST,-0.3999977,33.32,33.14,32.7,84543.0,,,,,,,
BNL,15.92,2024/02/07,10:48 EST,-0.11000061,16.03,15.995,15.9,84449.0,,,,,,,
ALPN,27.24,2024/02/07,10:47 EST,0.7199993,26.62,27.24,26.09,84412.0,,,,,,,
SANM,58.13,2024/02/07,10:44 EST,-0.069999695,58.28,58.5099,57.6901,84120.0,,,,,,,
PII,88.945,2024/02/07,10:47 EST,0.1949997,88.94,89.46,87.68,83818.0,,,,,,,
POWW,2.175,2024/02/07,10:48 EST,-0.025000095,2.22,2.22,2.16,83792.0,,,,,,,
GNK,17.86,2024/02/07,10:47 EST,-0.069999695,17.88,17.9239,17.76,83628.0,,,,,,,
INFA,30.29,2024/02/07,10:47 EST,0.26000023,30.26,30.31,29.88,83519.0,,,,,,,
EVH,29.675,2024/02/07,10:46 EST,0.10499954,29.7,29.85,29.38,83173.0,,,,,,,
MC,54.59,2024/02/07,10:48 EST,-0.13999939,54.92,54.86,54.06,83128.0,,,,,,,
CTS,42.8675,2024/02/07,10:46 EST,-3.0424995,42.2,43.11,42.2,83072.0,,,,,,,
WEAV,12.75,2024/02/07,10:46 EST,-0.42000008,13.15,13.15,12.71,83031.0,,,,,,,
AZTA,66.67,2024/02/07,10:47 EST,-0.05000305,66.84,66.86,65.35,82956.0,,,,,,,
ENTG,120.085,2024/02/07,10:47 EST,1.5149994,119.46,120.17,117.46,82496.0,,,,,,,
VBTX,19.7,2024/02/07,10:48 EST,-0.27999878,20.01,20.01,19.37,82395.0,,,,,,,
RGEN,203.27,2024/02/07,10:46 EST,2.75,201.33,203.945,199.5,82312.0,,,,,,,
ZG,55.27,2024/02/07,10:47 EST,-0.069999695,55.57,55.8999,54.41,82003.0,,,,,,,
FOSL,1.0575,2024/02/07,10:47 EST,-0.012500048,1.09,1.09,1.041,81996.0,,,,,,,
CMRX,0.9232,2024/02/07,10:47 EST,-0.005800009,0.94,0.9443,0.9111,81792.0,,,,,,,
ARW,110.105,2024/02/07,10:47 EST,0.4050064,109.77,110.48,108.82,81747.0,,,,,,,
JBL,131.7187,2024/02/07,10:47 EST,1.9587097,130.0,131.7187,129.5,81490.0,,,,,,,
BRKL,9.65,2024/02/07,10:48 EST,-0.28999996,9.95,9.96,9.57,81487.0,,,,,,,
HLMN,8.69,2024/02/07,10:48 EST,-0.08000088,8.78,8.78,8.675,81480.0,,,,,,,
MKFG,0.6501,2024/02/07,10:41 EST,-0.000800014,0.664,0.685,0.65,81382.0,,,,,,,
YEXT,5.845,2024/02/07,10:47 EST,-0.11500025,5.96,5.925,5.81,81285.0,,,,,,,
SKT,26.305,2024/02/07,10:48 EST,0.034999847,26.25,26.49,26.06,81166.0,,,,,,,
DCPH,14.46,2024/02/07,10:47 EST,-0.3699999,14.91,14.91,14.37,81149.0,,,,,,,
PNW,67.67,2024/02/07,10:47 EST,-0.41000366,68.44,68.65,67.6,81138.0,,,,,,,
URI,655.4999,2024/02/07,10:47 EST,0.9598999,658.06,658.34,649.775,81057.0,,,,,,,
AVY,202.7,2024/02/07,10:46 EST,4.2599945,199.8,203.25,198.775,81002.0,,,,,,,
FBRT,12.21,2024/02/07,10:46 EST,-0.42000008,12.56,12.635,12.21,80982.0,,,,,,,
NARI,56.775,2024/02/07,10:45 EST,-0.36499786,57.48,57.14,56.3,80954.0,,,,,,,
DOUG,2.01,2024/02/07,10:45 EST,-0.03999996,2.05,2.05,1.97,80470.0,,,,,,,
AMLX,15.3656,2024/02/07,10:47 EST,-0.19440079,15.51,15.51,15.25,80268.0,,,,,,,
SPNT,11.63,2024/02/07,10:46 EST,0.0,11.59,11.66,11.49,80046.0,,,,,,,
STAA,29.805,2024/02/07,10:48 EST,-1.2150002,30.98,31.005,29.72,79954.0,,,,,,,
ICUI,98.28,2024/02/07,10:48 EST,3.2799988,95.88,99.373,95.45,79942.0,,,,,,,
PTCT,26.16,2024/02/07,10:46 EST,-0.63000107,26.74,26.74,26.08,79779.0,,,,,,,
FTCI,0.48,2024/02/07,10:45 EST,-0.008599997,0.4792,0.5,0.4744,79745.0,,,,,,,
MORF,37.73,2024/02/07,10:47 EST,-0.40999985,38.18,38.285,37.52,79622.0,,,,,,,
PECO,34.81,2024/02/07,10:47 EST,-0.12999725,35.0,35.02,34.74,79592.0,,,,,,,
RBBN,3.07,2024/02/07,10:48 EST,-0.01999998,3.11,3.11,3.03,79344.0,,,,,,,
PSN,66.1993,2024/02/07,10:47 EST,0.36930084,65.89,66.48,65.765,79114.0,,,,,,,
TGAN,4.865,2024/02/07,10:47 EST,-0.0050001144,4.87,4.88,4.86,78909.0,,,,,,,
SPWH,3.565,2024/02/07,10:46 EST,-0.11500001,3.69,3.69,3.555,78756.0,,,,,,,
PDCO,28.63,2024/02/07,10:47 EST,-0.34000015,28.98,29.06,28.52,78523.0,,,,,,,
MOH,362.415,2024/02/07,10:47 EST,5.2950134,357.66,363.24,356.47,78485.0,,,,,,,
ZIMV,18.04,2024/02/07,10:43 EST,-0.37999916,18.55,18.9599,17.844,77954.0,,,,,,,
SOI,7.38,2024/02/07,10:39 EST,-0.15,7.52,7.49,7.33,77927.0,,,,,,,
PTLO,13.545,2024/02/07,10:47 EST,0.015000343,13.63,13.73,13.54,77901.0,,,,,,,
HXL,69.9,2024/02/07,10:48 EST,0.80000305,69.92,70.01,69.21,77772.0,,,,,,,
CRI,77.08,2024/02/07,10:47 EST,0.25,76.54,77.595,76.305,77554.0,,,,,,,
NN,4.135,2024/02/07,10:47 EST,0.0050001144,4.17,4.185,4.11,77215.0,,,,,,,
UCBI,26.62,2024/02/07,10:48 EST,-0.14999962,26.78,26.88,26.251,77215.0,,,,,,,
CBT,77.17,2024/02/07,10:47 EST,0.4399948,76.75,77.64,76.0,77095.0,,,,,,,
