Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
VXRT,"Vaxart Inc",1.93,-0.06,-3.02%,1.93,1.99,1.9,3938600,2022-10-07
VZIO,"Vizio Holding Corp Cl A",9.47,-0.45,-4.54%,9.73,9.73,9.31,422200,2022-10-07
WABC,"Westamerica Bancorp",52.22,-0.89,-1.68%,53.06,53.33,52.04,107200,2022-10-07
WAFD,"Washington Federal",31.18,-0.16,-0.51%,31.09,31.32,30.73,416800,2022-10-07
WASH,"Washington TR Bncorp",46.95,-1.06,-2.21%,47.64,47.74,46.84,69300,2022-10-07
WD,"Walker & Dunlop",85.75,-1.83,-2.09%,86.43,87.56,84.82,138600,2022-10-07
WDFC,"W D 40 Company",176.56,-1.07,-0.60%,176.5,176.67,173.31,92000,2022-10-07
WEAV,"Weave Communications Inc",5.91,-0.33,-5.29%,6.17,6.19,5.87,109200,2022-10-07
WEBR,"Weber Inc Cl A",7.51,0.02,+0.27%,7.38,7.62,7.2,689400,2022-10-07
WEJO,"Wejo Group Ltd",1.06,-0.04,-3.64%,1.11,1.11,1.05,60400,2022-10-07
WERN,"Werner Enterprise",37.91,-1.14,-2.92%,38.53,38.75,37.76,394700,2022-10-07
WETF,"Wisdomtree Investments Inc",4.78,-0.17,-3.43%,4.92,4.92,4.73,463100,2022-10-07
WEYS,"Weyco Gp Inc",20.5,-0.41,-1.96%,20.4,20.75,20.13,12200,2022-10-07
WFRD,"Weatherford International Plc",34.68,-0.31,-0.89%,35,35.17,34.22,392800,2022-10-07
WGO,"Winnebago Industries",54.43,-1.15,-2.07%,55.21,55.3,53.47,471800,2022-10-07
WHD,"Cactus Inc Cl A",42.95,-1.04,-2.36%,43.78,44.18,42.68,457100,2022-10-07
WINA,"Winmark Corp",217.01,-4.29,-1.94%,218.3,218.3,216.6,9200,2022-10-07
WING,"Wingstop Inc",128.32,-4.72,-3.55%,132.04,134.2,124.89,986600,2022-10-07
WIRE,"Encore Wire Cp",123.89,-2.37,-1.88%,126.26,126.26,123.23,342500,2022-10-07
WISH,"Contextlogic Inc Cl A",0.7553,-0.0928,-10.94%,0.82,0.829,0.7407,19145799,2022-10-07
WK,"Workiva Llc",75.49,-5.29,-6.55%,78.99,78.99,74.36,351500,2022-10-07
WKHS,"Workhorse Grp",2.47,-0.18,-6.79%,2.64,2.64,2.41,4509300,2022-10-07
WLDN,"Willdan Group Inc",13.34,-0.86,-6.06%,13.93,14.25,13.17,72600,2022-10-07
WLLAW,"Chord Energy Corp",24.03,-0.71,-2.87%,24.75,26,24.03,14000,2022-10-07
WLLBW,"Whiting Petroleum Corp",23.5,1.05,+4.68%,24.74,24.88,23.18,2200,2022-10-07
WLY,"John Wiley Sons Cl A",37.16,-1.32,-3.43%,37.72,37.99,36.94,266600,2022-10-07
WMK,"Weis Markets",72.65,0.19,+0.26%,71.93,72.85,71.76,52800,2022-10-07
WNC,"Wabash National Corp",16.16,-0.6,-3.58%,16.57,16.73,16.12,328800,2022-10-07
WOR,"Worthington Industries",42.24,-0.62,-1.45%,42.54,42.54,41.61,171100,2022-10-07
WOW,"Wideopenwest Inc",12.94,-0.51,-3.79%,13.24,13.62,12.81,539400,2022-10-07
WRBY,"Warby Parker Inc Cl A",14.26,-0.33,-2.26%,14.13,14.67,13.93,1381000,2022-10-07
WRE,"Washington Real Estate Investment",16.53,-0.24,-1.43%,16.57,16.6,16.32,649100,2022-10-07
WRLD,"World Acceptance Cp",95.77,-4.53,-4.52%,97.75,97.78,94,45900,2022-10-07
WSBC,"Wesbanco Inc",35.43,-0.06,-0.17%,35.35,35.49,34.94,279900,2022-10-07
WSBF,"Waterstone Financial",16.14,-0.31,-1.88%,16.33,16.42,16.05,66600,2022-10-07
WSFS,"WSFS Financial Corp",45.52,-2.48,-5.17%,47.75,47.84,45.45,418800,2022-10-07
WSR,"Whitestone REIT",8.34,-0.13,-1.53%,8.43,8.45,8.25,241500,2022-10-07
