Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
CSX,33.68,2024/08/21,15:20 EDT,0.099998474,33.84,33.93,33.66,3894277.0,,,,,,,
UPWK,9.595,2024/08/21,15:19 EDT,0.20499992,9.33,9.64,9.25,3870720.0,,,,,,,
QCOM,172.9,2024/08/21,15:20 EDT,0.7899933,173.0,174.87,172.075,3825622.0,,,,,,,
MO,51.67,2024/08/21,15:20 EDT,0.22999954,51.54,51.86,51.445,3825344.0,,,,,,,
HIMS,16.49,2024/08/21,15:20 EDT,-0.040000916,16.71,16.8,16.08,3799561.0,,,,,,,
OWL,17.37,2024/08/21,15:20 EDT,-0.12999916,17.5,17.62,17.2,3799548.0,,,,,,,
MRVL,70.73,2024/08/21,15:20 EDT,1.3199997,70.04,71.25,69.485,3741033.0,,,,,,,
OSTK,16.78,2024/08/19,16:00 EDT,0.0,16.31,16.78,16.78,3736902.0,,,,,,,
CNP,26.115,2024/08/21,15:20 EDT,0.3050003,25.88,26.24,25.81,3736851.0,,,,,,,
NEM,51.8,2024/08/21,15:20 EDT,0.34999847,51.62,52.03,51.04,3724758.0,,,,,,,
DVN,43.815,2024/08/21,15:20 EDT,-0.22500229,44.51,44.62,43.61,3694720.0,,,,,,,
VRT,77.34,2024/08/21,15:20 EDT,0.8299942,76.32,78.6,75.4162,3636630.0,,,,,,,
EQT,32.9925,2024/08/21,15:20 EDT,-0.24750137,33.49,33.58,32.63,3616296.0,,,,,,,
RXRX,7.48,2024/08/21,15:20 EDT,0.32000017,7.17,7.54,7.13,3615773.0,,,,,,,
UEC,5.045,2024/08/21,15:20 EDT,0.025000095,5.05,5.13,4.96,3584134.0,,,,,,,
CPRI,35.24,2024/08/21,15:20 EDT,2.2300034,33.9,35.5,33.71,3522936.0,,,,,,,
PANW,360.1,2024/08/21,15:20 EDT,-7.9100037,364.19,368.5949,358.53,3507126.0,,,,,,,
SLB,44.3,2024/08/21,15:20 EDT,0.27000046,44.54,44.68,44.11,3480473.0,,,,,,,
EBAY,58.4201,2024/08/21,15:20 EDT,1.4801025,57.05,58.475,56.62,3462317.0,,,,,,,
HST,16.785,2024/08/21,15:20 EDT,0.2649994,16.64,16.815,16.48,3449993.0,,,,,,,
GERN,4.54,2024/08/21,15:20 EDT,-0.07999992,4.68,4.68,4.535,3448753.0,,,,,,,
OM,0.6756,2024/08/21,15:20 EDT,0.0855,0.6001,0.6831,0.577,3436923.0,,,,,,,
TDOC,7.2946,2024/08/21,15:20 EDT,0.0946002,7.25,7.325,7.03,3414356.0,,,,,,,
ZM,59.71,2024/08/21,15:20 EDT,0.579998,59.565,60.0886,59.38,3385938.0,,,,,,,
AADI,1.5,2024/08/21,15:20 EDT,-0.120000005,1.44,1.57,1.4,3336547.0,,,,,,,
BA,173.5062,2024/08/21,15:20 EDT,1.406189,173.0,173.9216,171.059,3328575.0,,,,,,,
EL,92.115,2024/08/21,15:20 EDT,1.1449966,92.05,93.06,90.9,3327674.0,,,,,,,
JPM,214.02,2024/08/21,15:20 EDT,-0.5,214.43,214.885,212.84,3304205.0,,,,,,,
BTU,23.245,2024/08/21,15:20 EDT,0.6850014,23.495,24.56,22.755,3291686.0,,,,,,,
AMCR,10.935,2024/08/21,15:20 EDT,0.14500046,10.79,10.96,10.78,3284503.0,,,,,,,
TOL,140.265,2024/08/21,15:20 EDT,6.744995,136.94,143.16,136.07,3253784.0,,,,,,,
OPK,1.6,2024/08/21,15:20 EDT,0.01999998,1.58,1.6,1.53,3198372.0,,,,,,,
NRDY,1.055,2024/08/21,15:20 EDT,0.014999986,1.09,1.11,1.03,3181024.0,,,,,,,
NEE,79.53,2024/08/21,15:20 EDT,0.5499954,79.17,79.89,79.13,3176756.0,,,,,,,
PL,2.7,2024/08/21,15:19 EDT,-0.03999996,2.78,2.8,2.66,3162254.0,,,,,,,
ME,0.3325,2024/08/21,15:19 EDT,-0.023000002,0.3511,0.3552,0.3311,3158275.0,,,,,,,
RF,21.715,2024/08/21,15:20 EDT,-0.125,21.92,21.96,21.505,3149791.0,,,,,,,
KEYS,156.28,2024/08/21,15:20 EDT,17.709991,156.55,157.97,152.2301,3141574.0,,,,,,,
LPSN,1.5,2024/08/21,15:20 EDT,-0.059999943,1.53,1.5699,1.41,3138505.0,,,,,,,
KDP,35.495,2024/08/21,15:20 EDT,-0.23500061,35.8,35.955,35.495,3138047.0,,,,,,,
EBS,9.82,2024/08/21,15:20 EDT,0.17999935,9.57,10.22,9.38,3125087.0,,,,,,,
ESPR,1.735,2024/08/21,15:20 EDT,-0.044999957,1.8,1.81,1.72,3090381.0,,,,,,,
IONQ,7.6999,2024/08/21,15:20 EDT,0.4899001,7.3,7.74,7.26,3075785.0,,,,,,,
SOND,6.5,2024/08/21,15:20 EDT,0.5700002,6.27,7.7,5.56,3033668.0,,,,,,,
PCG,18.645,2024/08/21,15:20 EDT,0.015001297,18.64,18.68,18.56,3015974.0,,,,,,,
AES,17.67,2024/08/21,15:20 EDT,0.29000092,17.43,17.76,17.33,3005401.0,,,,,,,
DNA,8.9498,2024/08/21,15:20 EDT,1.2397995,9.32,9.08,7.505,2976335.0,,,,,,,
PACB,1.555,2024/08/21,15:20 EDT,0.06499994,1.5,1.56,1.475,2974018.0,,,,,,,
INDI,4.185,2024/08/21,15:20 EDT,0.025000095,4.17,4.24,4.03,2968623.0,,,,,,,
NVAX,12.79,2024/08/21,15:20 EDT,-0.2300005,13.2,13.34,12.7,2929328.0,,,,,,,
KR,52.625,2024/08/21,15:20 EDT,0.5849991,52.64,52.99,52.29,2927918.0,,,,,,,
NI,32.305,2024/08/21,15:20 EDT,0.15499878,32.1,32.445,32.105,2900368.0,,,,,,,
OCGN,1.2701,2024/08/21,15:20 EDT,0.06009996,1.2,1.3,1.2,2892099.0,,,,,,,
K,80.365,2024/08/21,15:20 EDT,0.06499481,80.35,80.48,80.27,2882796.0,,,,,,,
ON,76.11,2024/08/21,15:20 EDT,0.29000092,76.96,77.94,75.89,2882171.0,,,,,,,
CRM,260.9475,2024/08/21,15:20 EDT,-0.8924866,261.1,262.14,259.18,2878097.0,,,,,,,
ARRY,6.6,2024/08/21,15:20 EDT,0.23000002,6.35,6.62,6.31,2863141.0,,,,,,,
VST,81.84,2024/08/21,15:20 EDT,2.199997,79.65,82.99,79.03,2824847.0,,,,,,,
MCHP,82.04,2024/08/21,15:20 EDT,1.7600021,80.795,82.87,80.795,2823581.0,,,,,,,
ENVX,10.31,2024/08/21,15:20 EDT,0.20000076,10.2,10.44,9.87,2823433.0,,,,,,,
