Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ONEW,"Onewater Marine Inc Cl A",29.89,-0.83,-2.70%,30.2,30.63,29.41,123400,2022-10-07
ONL,"Orion Office REIT Inc",8.86,-0.11,-1.23%,8.87,8.92,8.74,308700,2022-10-07
ONTF,"On24 Inc",9.16,-0.13,-1.40%,9.14,9.21,8.97,244100,2022-10-07
ONTO,"Onto Innovation Inc",68.34,-3.45,-4.81%,69.87,70.18,67.93,173200,2022-10-07
OPCH,"Option Care Health Inc",32.38,-1.32,-3.92%,33.16,33.48,32.15,769200,2022-10-07
OPEN,"Opendoor Technologies Inc",2.81,-0.18,-6.02%,2.89,2.9,2.74,20020900,2022-10-07
OPI,"Office Properties Income Trust",12.46,-0.55,-4.23%,12.87,12.89,12.33,325400,2022-10-07
OPK,"Opko Health Inc",1.75,-0.1,-5.41%,1.81,1.8498,1.75,1471700,2022-10-07
ORA,"Ormat Technologies",83.9,-2.06,-2.40%,85.32,85.75,83.33,426200,2022-10-07
ORC,"Orchid Island Capital Inc",8.55,0.07,+0.83%,8.42,8.7,8.38,2450900,2022-10-07
ORCL,"Oracle Corp",63.29,-2.01,-3.08%,64.49,64.62,62.74,7138000,2022-10-07
ORGN,"Origin Materials Inc",5.09,-0.2,-3.78%,5.2,5.23,5.06,665000,2022-10-07
ORI,"Old Republic International Corp",21.75,-0.29,-1.32%,21.96,21.98,21.66,1401400,2022-10-07
ORLY,"O'Reilly Automotive",710.77,-21.64,-2.95%,728.38,729.32,705.71,466600,2022-10-07
ORRF,"Orrstown Finl Svcs",23.43,-0.65,-2.70%,23.92,23.92,23.31,12900,2022-10-07
OSBC,"Old Second Bancorp",13.26,-0.31,-2.28%,13.58,13.58,13.21,104300,2022-10-07
OSCR,"Oscar Health Inc Cl A",4.35,-0.4,-8.42%,4.69,4.69,4.35,2145500,2022-10-07
OSH,"Oak Street Health Inc",22.07,-1.69,-7.11%,23.27,24.27,21.73,3325000,2022-10-07
OSIS,"O S I Systems Inc",71.75,-2.44,-3.29%,73.34,73.61,71.28,77300,2022-10-07
OSK,"Oshkosh Truck Corp",74.56,-1.82,-2.38%,75.7,75.87,74.27,353400,2022-10-07
OSPN,"Onespan Inc",8.66,-0.28,-3.13%,8.85,8.94,8.42,186700,2022-10-07
OSTK,"Overstock.com Inc",25.92,-0.44,-1.67%,25.85,26.03,25.34,817100,2022-10-07
OSW,"Onespaworld Holdings Ltd",8.14,-0.08,-0.97%,8.14,8.21,8.11,196000,2022-10-07
OTIS,"Otis Worldwide Corp",65.26,-1.54,-2.31%,66.17,66.51,64.87,1446500,2022-10-07
OTTR,"Otter Tail Corp",61.75,-1.68,-2.65%,63.49,63.49,61.21,146000,2022-10-07
OUT,"Outfront Media Inc",15.94,-0.17,-1.06%,15.9,16.06,15.68,1491000,2022-10-07
OVV,"Ovintiv Inc",55.57,-0.21,-0.38%,55.6,56.7,54.71,4894000,2022-10-07
OWL,"Blue Owl Capital Inc",9.18,-0.29,-3.06%,9.31,9.44,9,6052200,2022-10-07
OXM,"Oxford Industries",89.51,-2.05,-2.24%,90.31,90.92,88.32,211700,2022-10-07
OXY,"Occidental Petroleum Corp",69.8,-0.7,-0.99%,70.86,72.04,69.06,29084900,2022-10-07
OZK,"Bank Ozk",41.33,-1.01,-2.39%,42.12,42.12,41.01,665000,2022-10-07
PACB,"Pacific Biosciences",6.11,-0.76,-11.06%,6.61,6.74,6.06,3064500,2022-10-07
PACW,"Pacwest Bancorp",22.87,-0.54,-2.31%,23.18,23.24,22.65,1321900,2022-10-07
PAG,"Penske Automotive Group",99.89,-1.03,-1.02%,100.04,101.09,99.41,619700,2022-10-07
