Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AON,"AON Plc",273.11,-7.61,-2.71%,278.85,278.85,270.92,601400,2022-10-07
AOS,"Smith A.O. Corp",49.5,-1.28,-2.52%,50.24,50.28,49.21,1307300,2022-10-07
APA,"Apa Corp",42.52,0.32,+0.76%,42.15,43.71,41.93,10920000,2022-10-07
APD,"Air Products and Chemicals",231.75,-6.84,-2.87%,235.9,236.95,230.01,1046800,2022-10-07
APH,"Amphenol Corp",70.17,-2.23,-3.08%,71.36,71.49,69.83,2322700,2022-10-07
APO,"Apollo Asset Management Inc",48.77,-2.24,-4.39%,50.35,50.54,48.23,2330200,2022-10-07
APP,"Applovin Corp Cl A",19.22,-1.32,-6.43%,19.84,19.87,18.6,1895800,2022-10-07
APTV,"Aptiv Plc",85.19,-3.18,-3.60%,86.23,86.63,83.26,2418900,2022-10-07
AR,"Antero Resources Corp",32.32,-0.02,-0.06%,32.29,33.41,31.85,4246800,2022-10-07
ARE,"Alexandria Real Estate Equities",134.74,-4.59,-3.29%,137.79,138.06,133.74,822000,2022-10-07
ARES,"Ares Management LP",65.19,-2.03,-3.02%,66.11,66.42,64.75,703400,2022-10-07
ARMK,"Aramark Holdings Corp",34.02,-0.45,-1.31%,34.18,34.21,33.5,4099000,2022-10-07
ARW,"Arrow Electronics",95.54,-1.99,-2.04%,96.37,96.51,94.69,675500,2022-10-07
ASH,"Ashland Inc",94.84,-2.66,-2.73%,96.58,96.64,94.21,247700,2022-10-07
ATO,"Atmos Energy Corp",99.39,-1.42,-1.41%,100.65,100.79,98.84,856500,2022-10-07
ATR,Aptargroup,93.98,-3.76,-3.85%,96.93,96.93,93.6,118900,2022-10-07
ATUS,"Altice USA Inc Cl A",5.43,-0.32,-5.57%,5.7,5.76,5.39,6100100,2022-10-07
ATVI,"Activision Blizzard",73.35,-0.48,-0.65%,73.59,73.73,73.04,4208200,2022-10-07
AVB,"Avalonbay Communities",172.28,-5.35,-3.01%,175.95,176.82,171.01,728700,2022-10-07
AVGO,"Broadcom Ltd",460.48,-19.02,-3.97%,472.38,473.34,459.02,2842500,2022-10-07
AVLR,"Avalara Inc",92.65,0.08,+0.09%,92.45,92.66,92.26,2109200,2022-10-07
AVT,"Avnet Inc",37.91,-1.05,-2.70%,38.47,38.51,37.71,549600,2022-10-07
AVTR,"Avantor Inc",20.12,-0.97,-4.60%,20.82,20.87,19.92,6900800,2022-10-07
AVY,"Avery Dennison Corp",165.53,-4.57,-2.69%,168.14,168.86,164.39,311500,2022-10-07
AWI,"Armstrong World Industries Inc",82.89,-1.23,-1.46%,83.35,83.35,81.91,235900,2022-10-07
AWK,"American Water Works",127.45,-3.79,-2.89%,130.46,130.79,125.93,1051700,2022-10-07
AXON,"Axon Enterprise Inc",123.75,-2.69,-2.13%,123.94,124.55,121.63,403900,2022-10-07
AXP,"American Express Company",139,-3.38,-2.37%,140.42,141.29,138.08,2579600,2022-10-07
AXS,"Axis Capital Holdings",49.59,-2.04,-3.95%,51.46,51.46,49.23,377000,2022-10-07
AXTA,"Axalta Coating Systems Ltd",22.07,-1.26,-5.40%,23.01,23.22,21.98,2361600,2022-10-07
AYI,"Acuity Brands Inc",157.21,-7.13,-4.34%,162.22,162.22,155.29,378000,2022-10-07
AYX,"Alteryx Inc",53.93,-3.01,-5.29%,55.61,55.68,53.19,800600,2022-10-07
