Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
EXFY,2.47,2023/12/29,16:00 EST,-0.059999943,2.52,2.575,2.45,451365,,,,,,,
DFH,35.53,2023/12/29,16:00 EST,-0.740002,36.0,36.4,35.39,443897,,,,,,,
DUOL,226.85,2023/12/29,16:00 EST,-6.23999,233.1,236.0,225.39,424496,,,,,,,
PAR,43.54,2023/12/29,16:00 EST,-0.290001,43.57,43.915,43.11,400410,,,,,,,
PACK,5.82,2023/12/29,16:00 EST,-0.23,6.04,6.11,5.81,386087,,,,,,,
SPT,61.44,2023/12/29,16:00 EST,-1.6400032,62.22,63.75,61.26,382511,,,,,,,
SONY,94.69,2023/12/29,16:00 EST,0.0400009,94.6,94.91,94.31,302450,,,,,,,
BEP,26.28,2023/12/29,16:00 EST,0.0200005,26.14,26.5588,25.94,275190,,,,,,,
TM,183.38,2023/12/29,16:00 EST,2.27,183.13,183.8752,182.355,223144,,,,,,,
SKLZ,6.24,2023/12/29,16:00 EST,-0.14,6.35,6.3887,6.1,218811,,,,,,,
FMX,130.35,2023/12/29,16:00 EST,-0.25,130.35,130.71,129.85,203414,,,,,,,
ADES,2.98,2023/12/29,16:00 EST,0.18000007,2.8,3.025,2.7901,201902,,,,,,,
CMBM,6.0,2023/12/29,16:00 EST,-0.38999987,6.4,6.45,5.98,181928,,,,,,,
FLGT,28.91,2023/12/29,16:00 EST,-0.8899994,29.7,29.91,28.78,177280,,,,,,,
SAIA,438.22,2023/12/29,16:00 EST,-10.209991,446.53,449.99,437.315,157771,,,,,,,
MTH,174.2,2023/12/29,16:00 EST,-1.15001,174.5,175.82,173.59,149629,,,,,,,
HIBB,72.02,2023/12/29,16:00 EST,-0.7700043,72.31,72.87,71.64,143549,,,,,,,
CLLS,3.08,2023/12/29,16:00 EST,-0.31000018,3.28,3.28,2.96,130675,,,,,,,
VWDRY,10.49,2023/12/29,15:56 EST,-0.06000042,10.55,10.59,10.48,127694,,,,,,,
XPEL,53.85,2023/12/29,16:00 EST,-0.15999985,54.01,55.04,53.81,116305,,,,,,,
EXPR,8.37,2023/12/29,16:00 EST,0.0100002,8.37,8.4,8.12,67269,,,,,,,
NPO,156.74,2023/12/29,16:00 EST,-2.17,159.05,158.52,156.74,59080,,,,,,,
